Name,Image,RevitFamily,Style,Hook At Start,Hook At End,HookOrientation0,HookOrientation1,RevitVersion,CreatedByOrganization,LengthParameter,RhinoBaseLineType,CreationMethod,Progress,Notes
00,00.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/bIfN00ooWuiNgj5-VJ_2EQ/m-XpMx0MJbYg5GTMKHl-CQb5o_NqPDMV1Qxu-bCEvL1zkgGQzrLznLCkZiXso49mBqxFw8hM0mV0uc4YOFb1J-FDuE4jSmaMRXjObDNicO01Xwg7_GcrtD1sBbLmx9rLIzYDgXiXWM6yVaxpna7iUw/bjm2hN937rFZ_n5UJj8-GLUNr3yXNqTkZyD3NxEvoYs),00.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/jK5qWz6EUTRP_oO18C0zQQ/dptb3oH6EyCiJCKBLxgMgjAFxDRnNzSloh6gIWCm8DZjVvC154Yc773nNP841jCavWcs10AyAGH5y1x43hYAWIH3-JFy9YnsPdyn5tGa9OK-fE4PIxe4Rb6Fd46PzHtAFDskZW94IOLFx4SEFivAfw/cGzXGby8_aj6m_RDhqSRA_WZKaHm-UrGR5oC-jUkP_Q),Standard,0,0,Right,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
01,01.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/WFQBAanL6ZfDimwrb5xJjA/UXnVjC-gqQKDs88ErR3qRM3hG0gAsLi3Ze9vvHN-3RR6Ls-OWZfXwRPBbHiTXlJ4p9R6QbF2kU6-94wlvVivucJ2Emv943G0n4kWwBv5Ph8xClxmaVGNRrHum6Mj4yfoRmgRCay4yTtrnuu3Cq1EWw/HzytKR1_D5iYFTIoO25jTEB6jCFC1YtdLR9V7JD_Z98),01.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/jO1LftZeaOm0JXR3tjfHcg/V0Vxv2vbb2xFyLw2wwnK6G7XrHNkvcbiHWd-xE3PTz4FIQm571SvMSOiTeD5fWjwxHykbeEN958QkEZCbc6sCPlqiO9AQlSaPbtk7MOLFC3LgxGAESaYI6dAXoyL3VAg2RxwgOqRjYRedw20Gy58Pw/M1c6LVkEFyOujOpb_bNTYHYGMsRQKwn2Iil-74ecHH8),Standard,90,90,Right,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
02,02.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/0gZ_rxdO21BjUL7oQ4-9OA/Gob2sWBl8TssHJEnEPmzgKuY8tTeBlR8dqQaJ3P7CMa6O84vOQ4qnHYIyr4ir5x2LP4xg2oqY2YJRrMb_PvwQ0D2j57Tkg5XHJFkOz3hOgbtLwiDOJQPJab_y0z3w4uQ08u4NXRHA28sswKlLyyn-w/xhrAQM2O-rOgPfhxNjQzexNMzZ5BAglZlv1ZQS2MCGg),02.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/DsXBXsZPYGLY3cWmwGEMIg/ax_QiCIQfOQ0sFlTUw2_BII2mUBch1VbO_XBrj1VLgwIHNUud-mcX0QZVyULG4CqTn6IfttbljarECrCFWHgPLTv-X4LzYtTXGVo1GMdwSxterW1RsHkIPjvSP6lzsa4tz8p2rnPv5UFKmprMjGSDg/STPOklVtioygyBIlfwNRY3x8eYUOohLEh_vvsPSeidc),Standard,180,180,Right,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
03,03.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/h1bdir8EUZ8RkPRkW5yniQ/OFkLo2rly7U_18Gj0zxACpkf6d9PcMfnXEUf4J2UnWkUQBuZYy1hc0sH7LuZRVAFnP7d4xLJQ8P6IHb8cDxBICpJyCZbG89eYcH6g-o0cL4_u-OKFV1QcaaBNlUz9PVMtuFxtFu2_dnVlyBXSYAKiA/YrAdh-lraRwdA8K5lM1HGWzlXHoF8rt2HmFrNdSFVAI),03.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/43gYfwttMpNKQZyXruVHiA/VvF6Cs89_dZYu8Pzdi-FX1dH539nEPoKQg5RdFzId0umXIs4sWK8Z1eke3pKGU3JOJBMpI_fgzdiNo2kzZH4TpMjw0YO0TIZmLsxAeV7s-RM9V7easkxHfT6asOXWiSd2S60ZuSIU-WNjdAJiFLkgg/KEqPyRhO1bSzGHHY3L3S2bvDIGj3jSdah1iA0VHPjqM),Standard,90,90,Left,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
04,04.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/44MDcv81pBWyQWu0ojYMwg/GyVYRMijMjXklHZqEhxGKtMT8UeIzmct-whRPgaUv6u8UhcOaN43XJXUI5oEg5r3iJeB_l8M9dE3Q1e_cO2q-xSY6rA2AyBDQX4TmFxFPXxnCU_NT0bUGsNXHPE2qOU7SGqCm1NEeqT6QCjfnpILaA/hraN2PyUwEGo3ArAMZy4J3QbUs_z9DyysyIQXVmxAvs),04.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/zgWJZJn52FfupP-KqeCcYw/kpuS9RchXpWIMDwz8w6LO5GWK_UuPMcvZNY1LV6uPndslGL5hrw9IwWIICpjkdgPZvj-ro2SI-YED2R_s_HjlPW9WpwayWlhGGvxvrUJL91h6e1nk38612CDJovTcYkx9Mtb7uoVpBd8G6TLiw8eMA/QwA0NzzrNSbOknrDvrW9ZYnNsuWtRlo7_vPWs5KKMyg),Standard,90,180,Left,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
05,05.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/2x7hKmiviJme8K6SNk3V_A/6gzANlFKYCtt5a_NTz6N2LT0uUrTe7KGjWOXdABTBFcctCmsKjcFzAMoISKZwfn0DicP-WG8b6F42M81TjhFZE0-9sK3f_rTTw5hWVM7qWTunStaSGJz4-c6GfVH30z9IwAYGW0iNikWh3JW2CAyOQ/u0SbAzVrVZsLBjLxSQVEd80x5ktZ3ls_ZvuTAHzm2vo),05.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/BqnV9qGiba4jFOtkWb2zNw/qYy4SFMnEP3xUe_FybUhjreeC-vzY3VU4nlwNqhW5eIKJeA7_TKGLUyMBeLlYbKZQFuAhN58PYwcOMgVWkMRU1Ge4bMJtFW8XNVpIOse24MDFNA0f4tvxu2q7m2h0Zy6IBddjDlbYD5VbiKCfiHMWg/1vCcXWmn-ypXgX30IcPyO7Ee1DkxzDevSFmTYxgkWFw),Standard,180,180,Left,Right,2023,Autodesk,a,rg01,CurveAndShape,Done,
06,06.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/ZV3DAK3ql9e3K5c7KPvhmg/Y-mlvoWCReHsb12_xlh-O3rqD0IUKMldZu2z8lFIlla8aaj3TYNhoWGHTWckS3Fk2VI2uD98H-m5HDPuRq5I8shruUvFohIpt8prjbJg_yaHEpuV-03W67xXUuBAykOnokRm3S5L_cJvZGfLjdzBnQ/GpWhAvr2MyCSY4d7nta1Z6tJW7GDsD9S3WTndJHNppw),06.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/gr7gAhyFUbzPGdIln8n9xA/otwreaFk_CefIUhz58WH-qsYwOsPIIPPDECgHFrDBxPJj5sBvs1J4Zof2jBLk2nx4z-Z0dhtaWmJG_8EXUysElQx19oSwEI-lIkwq29y1-9YomyTh173bSXW5HWryPsbE_0Yf2J6-6z5fb2kydMang/u6ZZkT1GnRcXHhvyEwtsJgZo2pxoDZbP0qq2Vi8B1Jk),Standard,0,0,Left,Right,2023,Autodesk,"a,b",rg02,CurveAndShape,Done,
07,07.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/bM_0YLKoMoG-yz8SvD64Dw/wNMl-niV3hPCOnSylvOG_gRGOWKzzH3p4iICP_BAlLCNaBiZTTav3cD9ML7Xlup9LxWqlrkxK4k00jNu0xn4AwgJOVS4UjZ2IaG9YH7lNVFSFN4p3-KT4hXSL5BjS5eiR4vxXMJ3TTuhlWXM_RoCZA/LZGSmpF1LwKqwU4sAqP3tn5DLR2CW4gruYopzCJuyzA),07.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/6b8h071ObpRqnRtD21K38w/t8rhzZW5MT1dNi3EQ2lTFjcJK-qMdfIqCIlztXKqPfiSaGHHVJ_R95IKrN715Bhz6dNiO0QNZV0U_eq0685hfpZeu-vrFuGSvN99BVUPt7xW79ekLG2SZaXaVomiplsZ1SkLh6bfXF7AWomU_Ce1pA/4aGdr8aGf8byCYJbilEDamKSHNsJ0ihY0Ofitv12Yb4),Standard,180,180,Left,Left,2023,Autodesk,"a,b",rg02,CurveAndShape,Done,
08,08.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/lcTOv2q0_XlOSz9DSpPeNw/Hu1QB-XApLx3rO401a7AB-ao2owR7uaD-0qk_c0_NMYYQHmSoCX_c0z0WMK1AQVypYYf3XNkcHrXs2R58pEopuM1bTPrSJ46PnrBd0sQb5zLCBIYqH-jTMp38Tc7VO5Zg5uN5AhLQD8RQ9fW_i_QlQ/EOT50bgSyGj4ZTUufZISW05tUhTM9d55XnHr-Vc8ouc),08.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/WvXZXWhJTq4_d-PpaIK4Bw/d97osGoS2aSScOPUJmfDNzh0fwIOrede1VL4RPDcA46kR6Ssrj2fWKRu0u_7bs93HLdXwdZWWPehDNjMP9WZ4I96sRNFQ9TEWB88Nwb6C_4UshRJWwQ4nxnPi_-TvMucaTJCWqGwu3fNH-RKuXjeAQ/mRLXV6ISJ-MrClyPMwTrerOKbeYjJhAL1FF35B6MZUo),Standard,180,180,Right,Left,2023,Autodesk,"a,b,c,d,e,x",rg16,CurveAndShape,Done,
09,09.jpg (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/bHG2IpSf1eZPRa3PnF291Q/EjmQ-WRNJsc299Xn-PNj_8qiMhORE_nsnG-GhBiFsEg2cwRdQiU_zzDxWNuZj0WeZlCdiwwEFW60ayQkEyNXIpehjN-iZLNJ8rLSW6ZWhh9zmhtzmtfAyVkxcVR6omX2uTP3oVXtT96tcu8z2D2BYQ/uSPE8Aoj1otl6ytN7PYLn6cgRFXBJL17vZTkWYgkyHs),09.rfa (https://v5.airtableusercontent.com/v3/u/47/47/1762689600000/UsZPJlC5x2ERZGTgUh7Lgw/qPTcUCkgFWY7m8k7Rlp02DOVKK06dV01YPl8j24-lC7zxkCBB6Q20yEpygRLDiDk0U_vxaElNNi0nqaK4AlZyJlN1A7-v0S-kI0MkLnMKPDec4iFe61_aE5Yb-fMvNpstduLbP76XOcI79jiqiy9Bg/fK9ZwaqhFCK1ylTqdT6dvpwM6rr1jwGaVymzHP7zV88),Standard,90,90,Right,Left,2023,Autodesk,"a,b,c,d,e,x",rg20,CurveAndShape,Done,
